PartNumber,Shape,VT,SizeX,SizeY,Height,FIDL,Position,Pickup,NoPick,Usage,Reject,Error,Dislodge,Rescan,LCR,Pickup Rate,Reject Rate,Error Rate,Dislodge Rate,Success Rate
13-DR4G16-5WFBCWE,DDR4  5X13.3X0.8,142,7.264,13.146,0.8,,"M6-A-7-1,M6-B-7-1",6626,0,6626,0,2,12,0,0,99.82,0,0.03,0.18,99.79
13-DRK4A8-G165WC0,DDR4  5X13.3X0.8,142,7.264,13.146,0.8,,"M6-A-3-1,M6-B-3-1",3308,0,3308,0,0,2,0,0,99.94,0,0,0.06,99.94
13-ESWS05-4R2P00JR,DFN2510 P10,123,2.22,1.076,0.57,"KT8FL K08107,KT8FL K14349",M3-42,3312,0,3312,0,0,2,0,0,99.94,0,0,0.06,99.94
13-FH016G-58A43VT,EMMC  11.5X13X0.8 P0.5,147,11.5,13,0.8,,"M6-A-1-1,M6-A-2-1,M6-A-5-1,M6-B-1-1",13994,0,13994,0,8,32,0,0,99.77,0,0.06,0.23,99.71
13-FHKLMA-G1JETDJR,EMMC  11.5X13X0.8 P0.5,147,11.5,13,0.8,,"M6-A-1-1,M6-B-1-1",3407,0,3407,0,0,108,0,0,96.83,0,0,3.17,96.83
13-LC1118-33BVT,SOP8 5x3.9x1.5 P1.27,123,5,3.9,1.5,"KT12F 213560,KT12F 213654,KT12F 213656,KT12F 213661,KT12F 213665,KT12F 213771,KT12F 213789",M4-15,13980,20,13960,0,0,4,0,0,99.97,0,0,0.03,99.97
13-LD1117-ADBVT,SOT-223,70,3.5,6.53,1.6,"KT12F 213651,KT12F 213771",M4-9,2560,0,2560,0,0,0,0,0,100,0,0,0,100
13-LD1463-CB5A25VT,SOT23-5,180,1.6,2.9,1.25,"KT8FL J79413,KT8FL K08067,KT8FL K08132,KT8FL K08145,KT8FL K08166,KT8FL K08168,KT8FL K14219",M3-11,14001,18,13983,0,23,2,0,0,99.99,0,0.16,0.01,99.82
13-LDSGM2-01915VT,SOT23-5,180,1.6,2.9,1.25,"KT8FL K08041,KT8FL K08141,KT8FL K08147,KT8FL K14219,KT8FL K14339,KT8FL K31623",M3-10,11410,11,11399,0,0,1,0,0,99.99,0,0,0.01,99.99
13-MNRTD2-841ACS,BGA GTF4,142,18.028,18.006,1.3,,"M6-A-3-1,M6-A-4-1,M6-A-7-1,M6-A-9-1,M6-A-11-1,M6-B-3-1,M6-B-5-1,M6-B-7-1,M6-B-9-1",11424,0,11424,0,4,24,0,0,99.79,0,0.04,0.21,99.75
13-MNRTD2-875PNJ0,BGA GTU4,233,22.969,22.965,0.8,,"M6-A-5-1,M6-B-5-1",3316,0,3316,0,0,10,0,0,99.7,0,0,0.3,99.7
13-MNRTD8-51MCJCG,BGA GTU3,142,21.172,21.178,0.8,,M6-A-3-1,2562,0,2562,0,2,2,0,0,99.92,0,0.08,0.08,99.84
13-MP3398-AGBVT,SOIC16 5x4x1.1,123,4.8,4.374,1,"KT16F 113876,KT16F 113877,KT16F 113923,KT16F 114037,KT16F 114038",M4-13,11601,7,11594,0,195,3,0,0,99.97,0,1.68,0.03,98.29
13-PMAD82-120BQGJR,SOP28,123,9.602,4.398,1,"KT16F 114035,KT16F 114039",M5-26,3310,0,3310,0,0,4,0,0,99.88,0,0,0.12,99.88
13-PMSN00-5805PVT,SOP28,123,9.602,4.398,1,"KT16F 113875,KT16F 113877,KT16F 113879,KT16F 113991,KT16F 114037,KT16F 114038",M5-9,13966,9,13957,0,0,1,0,0,99.99,0,0,0.01,99.99
13-PTCT81-7BSLVT,PHTOCOUPLER,70,4.58,6.5,3.5,"KT16F 113876,KT16F 113879,KT16F 113880,KT16F 113991,KT16F 114035,KT16F 114036,KT16F 114038,KT16F 114039","M6-43,M6-44",11445,24,11421,0,132,7,0,0,99.94,0,1.16,0.06,98.78
13-PTCT81-7BSLVT-A,,,,,,KT16F 114036,M6-43,116,0,116,0,2,0,0,0,100,0,1.72,0,98.28
13-PWLD55-37B3VT,SOT23-6,123,1.6,2.9,1.1,"KT8FL J79408,KT8FL K08070,KT8FL K08138,KT8FL K14221,KT8FL K14345,KT8FL K31619",M3-9,11425,10,11415,0,9,8,0,0,99.93,0,0.08,0.07,99.85
